ax, ay, az, gx, gy, gz, rx, ry, rz, lat, long, alt, time, velocity
0.443848,0.035400,0.909180,0.198473,1.068702,-0.580153,1.971107,26.006147,-179.441910,40.449668,-79.949377,316.860000,1:54:29.0,0.025722
0.443848,0.035400,0.909180,0.335878,1.312977,-0.549618,2.139114,26.077532,-179.443298,40.449668,-79.949377,316.860000,1:54:29.0,0.025722
0.441406,0.041748,0.912598,-0.106870,1.038168,-0.717557,2.362971,25.802427,-179.427597,40.449668,-79.949377,316.860000,1:54:29.0,0.020578
0.443115,0.036621,0.908691,0.351145,1.175573,-1.038168,2.216876,25.897293,-179.428497,40.449668,-79.949377,316.860000,1:54:29.0,0.020578
0.443115,0.036621,0.908691,0.320611,1.236641,-0.702290,2.071175,25.994335,-179.430389,40.449668,-79.949377,316.860000,1:54:29.0,0.020578
0.442871,0.031250,0.909668,0.351145,1.129771,-0.824427,1.969976,25.992277,-179.426224,40.449668,-79.949377,316.860000,1:54:29.0,0.020578
0.442871,0.031250,0.909668,0.473282,1.114504,-0.717557,1.793904,25.958368,-179.423508,40.449668,-79.949377,316.860000,1:54:29.0,0.020578
0.442871,0.031250,0.909668,0.076336,1.389313,-0.977099,1.619807,25.958477,-179.420303,40.449668,-79.949377,316.860000,1:54:29.0,0.020578
0.441650,0.036621,0.910400,0.229008,1.328244,-0.885496,1.801935,25.921421,-179.416550,40.449668,-79.949377,316.860000,1:54:29.0,0.020578
0.439697,0.036865,0.909180,0.335878,1.160305,-0.900763,2.127951,25.778139,-179.406921,40.449668,-79.949377,316.860000,1:54:29.0,0.020578
0.439697,0.036865,0.909180,0.259542,1.129771,-0.916031,1.989959,25.888794,-179.408264,40.449668,-79.949377,316.860000,1:54:29.0,0.020578
0.439697,0.036865,0.909180,0.030534,1.083969,-0.625954,2.128385,25.775442,-179.402100,40.449668,-79.949377,316.860000,1:54:29.0,0.020578
0.443604,0.040039,0.912354,0.183206,1.297710,-0.778626,2.243043,25.902943,-179.404709,40.449668,-79.949377,316.860000,1:54:29.0,0.020578
0.443604,0.040039,0.912354,0.259542,1.328244,-0.625954,2.249458,25.906387,-179.401138,40.449668,-79.949377,316.860000,1:54:29.0,0.020578
0.441406,0.037842,0.912354,0.290076,1.175573,-0.641221,2.115786,25.794699,-179.395218,40.449668,-79.949377,316.860000,1:54:29.0,0.020578
0.441406,0.037842,0.912354,0.274809,1.022901,-0.519084,2.240669,25.923878,-179.398941,40.449668,-79.949377,316.860000,1:54:29.0,0.020578
0.441406,0.037842,0.912354,0.122137,1.068702,-0.732824,2.122954,25.797344,-179.391815,40.449668,-79.949377,316.860000,1:54:29.0,0.020578
0.445557,0.039307,0.914062,0.290076,0.977099,-0.748092,2.198643,25.947802,-179.395493,40.449668,-79.949377,316.860000,1:54:29.0,0.020578
0.447266,0.036621,0.914795,0.320611,1.038168,-0.687023,2.090372,26.058868,-179.397003,40.449668,-79.949377,316.860000,1:54:29.0,0.020578
0.447266,0.036621,0.914795,0.274809,1.236641,-0.992366,1.919396,26.033792,-179.393204,40.449668,-79.949377,316.860000,1:54:29.0,0.020578
0.447266,0.036621,0.914795,0.335878,1.374046,-1.053435,2.102862,26.055847,-179.390976,40.449668,-79.949377,316.860000,1:54:29.0,0.020578
0.445801,0.043213,0.911377,0.106870,1.190840,-0.625954,2.287039,26.056400,-179.389099,40.449668,-79.949377,316.860000,1:54:29.0,0.020578
0.445801,0.043213,0.911377,0.442748,1.328244,-0.656489,2.472234,26.062286,-179.387985,40.449668,-79.949377,316.860000,1:54:29.0,0.020578
0.445801,0.038086,0.912842,0.183206,0.885496,-0.717557,2.127376,26.019344,-179.382034,40.449668,-79.949377,316.860000,1:54:29.0,0.020578
0.445801,0.038086,0.912842,0.106870,1.206107,-0.824427,2.289991,26.099848,-179.382568,40.449668,-79.949377,316.860000,1:54:29.0,0.020578
0.443848,0.036377,0.913818,0.198473,1.312977,-0.503817,2.156196,25.985353,-179.376831,40.449668,-79.949377,316.860000,1:54:29.0,0.020578
0.443848,0.036377,0.913818,0.290076,1.099237,-0.763359,2.019822,25.877506,-179.370804,40.449668,-79.949377,316.860000,1:54:29.0,0.020578
0.441406,0.034912,0.909912,0.488550,1.145038,-0.854962,2.010696,25.894939,-179.367035,40.449668,-79.949377,316.860000,1:54:29.0,0.020578
0.441406,0.034912,0.909912,0.427481,1.175573,-0.763359,1.860131,25.816629,-179.362534,40.449668,-79.949377,316.860000,1:54:29.0,0.020578
0.441406,0.034912,0.909912,0.183206,1.160305,-0.732824,2.020911,25.896324,-179.363098,40.449668,-79.949377,316.860000,1:54:29.0,0.020578
0.444824,0.041016,0.913330,0.244275,1.145038,-0.931298,2.199799,25.935112,-179.361771,40.449668,-79.949377,316.860000,1:54:29.0,0.020578
0.444824,0.041016,0.913330,0.564885,1.145038,-0.748092,2.377852,25.981794,-179.362122,40.449668,-79.949377,316.860000,1:54:29.0,0.020578
0.441162,0.036621,0.908691,0.473282,1.068702,-0.549618,2.207094,25.928478,-179.359009,40.449668,-79.949377,316.860000,1:54:29.0,0.020578
0.441162,0.036621,0.908691,0.290076,1.236641,-0.671756,2.207355,25.941170,-179.356964,40.449668,-79.949377,316.860000,1:54:29.0,0.020578
0.441162,0.036621,0.908691,0.290076,1.236641,-0.671756,2.207355,25.941170,-179.356964,40.449668,-79.949377,316.860000,1:54:29.0,0.020578
0.441406,0.036621,0.910645,0.213740,1.083969,-0.748092,2.185545,25.976614,-179.353348,40.449668,-79.949377,316.860000,1:54:29.0,0.020578
0.447998,0.039307,0.909424,0.229008,1.343511,-0.732824,2.210548,26.138594,-179.357590,40.449668,-79.949377,316.860000,1:54:29.0,0.020578
0.447998,0.039307,0.909424,0.229008,1.343511,-0.732824,2.210548,26.138594,-179.357590,40.449668,-79.949377,316.860000,1:54:29.0,0.020578
0.447998,0.039307,0.909424,0.198473,1.145038,-0.885496,2.230574,26.304859,-179.361435,40.449668,-79.949377,316.860000,1:54:29.0,0.020578
0.439453,0.036133,0.911621,0.198473,1.419847,-0.793893,2.129268,25.976938,-179.344513,40.449668,-79.949377,316.860000,1:54:29.0,0.020578
0.442871,0.040039,0.913086,0.305344,1.251908,-0.610687,2.269350,25.862864,-179.338608,40.449668,-79.949377,316.860000,1:54:29.0,0.020578
0.442871,0.040039,0.913086,0.396947,1.145038,-0.610687,2.270192,25.860262,-179.335251,40.449668,-79.949377,316.860000,1:54:29.0,0.020578
0.441406,0.037598,0.910645,0.045802,1.374046,-0.793893,2.089594,25.854834,-179.332474,40.449668,-79.949377,316.860000,1:54:29.0,0.020578
0.441406,0.037598,0.910645,0.244275,1.007634,-0.702290,2.271938,25.877676,-179.331406,40.449668,-79.949377,316.860000,1:54:29.0,0.020578
0.441406,0.037598,0.910645,0.152672,1.099237,-0.778626,2.093925,25.851799,-179.328033,40.449668,-79.949377,316.860000,1:54:29.0,0.020578
0.443848,0.031250,0.914795,0.106870,1.129771,-0.778626,1.913592,25.863750,-179.326004,40.449668,-79.949377,316.860000,1:54:29.0,0.020578
0.442139,0.036865,0.910889,0.152672,1.129771,-0.610687,1.918908,25.881987,-179.322235,40.449668,-79.949377,316.860000,1:54:29.0,0.020578
0.442139,0.036865,0.910889,0.351145,1.099237,-0.763359,2.104032,25.888229,-179.320465,40.449668,-79.949377,316.860000,1:54:29.0,0.020578
0.442139,0.036865,0.910889,0.427481,1.312977,-0.809160,1.934431,25.913513,-179.319397,40.449668,-79.949377,316.860000,1:54:29.0,0.020578
0.440918,0.037354,0.914062,0.335878,1.175573,-0.702290,2.064604,25.788950,-179.313217,40.449668,-79.949377,316.860000,1:54:29.0,0.020578
0.440918,0.037354,0.914062,0.198473,1.160305,-0.793893,2.064727,25.786669,-179.309219,40.449668,-79.949377,316.860000,1:54:29.0,0.020578
0.444336,0.031738,0.906738,0.152672,1.190840,-0.732824,1.954881,25.916672,-179.311615,40.449668,-79.949377,316.860000,1:54:29.0,0.020578
0.444336,0.031738,0.906738,0.229008,0.961832,-0.732824,1.845892,26.048801,-179.313934,40.449668,-79.949377,316.860000,1:54:29.0,0.020578
0.439941,0.035400,0.915283,0.106870,1.419847,-0.916031,1.910340,25.886219,-179.305618,40.449668,-79.949377,316.860000,1:54:29.0,0.020578
0.439941,0.035400,0.915283,0.442748,1.251908,-0.748092,2.037134,25.567888,-179.291321,40.449668,-79.949377,316.860000,1:54:29.0,0.020578
0.441406,0.039551,0.915527,0.366412,1.175573,-0.717557,2.169971,25.680889,-179.293716,40.449668,-79.949377,316.860000,1:54:29.0,0.020578
0.441406,0.039551,0.915527,0.396947,1.099237,-0.702290,2.296063,25.803640,-179.296860,40.449668,-79.949377,316.860000,1:54:29.0,0.020578
0.441406,0.039551,0.915527,0.549618,1.068702,-0.809160,2.174537,25.683834,-179.290359,40.449668,-79.949377,316.860000,1:54:29.0,0.020578
0.439941,0.037354,0.916504,0.076336,1.114504,-0.961832,2.178283,25.686041,-179.284866,40.449668,-79.949377,316.860000,1:54:29.0,0.020578
0.439941,0.037354,0.916504,0.198473,1.083969,-0.671756,2.030465,25.593727,-179.279526,40.449668,-79.949377,316.860000,1:54:29.0,0.020578
0.443115,0.034668,0.910156,0.045802,1.206107,-0.671756,2.000000,25.755556,-179.283096,40.449668,-79.949377,316.860000,1:54:29.0,0.020578
0.443115,0.034668,0.910156,0.412214,1.267176,-0.793893,1.970695,25.917698,-179.286819,40.449668,-79.949377,316.860000,1:54:29.0,0.020578
0.443848,0.039551,0.907715,0.381679,1.282443,-0.870229,2.132672,25.994846,-179.287308,40.449668,-79.949377,316.860000,1:54:29.0,0.020578
0.443848,0.039551,0.907715,0.122137,1.160305,-0.671756,2.134183,26.003746,-179.283173,40.449668,-79.949377,316.860000,1:54:29.0,0.020578
0.439453,0.031738,0.912354,0.274809,1.312977,-0.824427,2.003171,25.886457,-179.276611,40.449668,-79.949377,316.860000,1:54:29.0,0.020578
0.439453,0.031738,0.912354,0.015267,1.114504,-0.748092,1.868922,25.772951,-179.270218,40.449668,-79.949377,316.860000,1:54:29.0,0.020578
0.439453,0.031738,0.912354,0.366412,1.282443,-0.687023,1.731925,25.666264,-179.265167,40.449668,-79.949377,316.860000,1:54:29.0,0.020578
0.443359,0.034424,0.911865,0.213740,1.053435,-0.732824,1.842552,25.796820,-179.267120,40.449668,-79.949377,316.860000,1:54:29.0,0.020578
0.443359,0.034424,0.911865,0.335878,1.236641,-0.916031,1.827915,25.930532,-179.266525,40.449668,-79.949377,316.860000,1:54:29.0,0.020578
0.443115,0.040527,0.912354,0.519084,1.389313,-0.748092,2.013684,25.914703,-179.264389,40.449668,-79.949377,316.860000,1:54:29.0,0.020578
0.443115,0.040527,0.912354,0.290076,1.267176,-0.778626,2.198759,25.903212,-179.261841,40.449668,-79.949377,316.860000,1:54:29.0,0.020578
0.444092,0.039551,0.912842,0.320611,1.236641,-1.007634,2.313313,26.037474,-179.264297,40.449668,-79.949377,316.860000,1:54:29.0,0.020578
0.444092,0.039551,0.912842,0.381679,0.992366,-0.916031,2.310893,26.047159,-179.260300,40.449668,-79.949377,316.860000,1:54:29.0,0.020578
0.439209,0.035156,0.911621,0.290076,1.160305,-0.610687,2.191054,25.920214,-179.253769,40.449668,-79.949377,316.860000,1:54:29.0,0.020578
0.439209,0.035156,0.911621,0.381679,1.206107,-0.671756,2.069807,25.795246,-179.247513,40.449668,-79.949377,316.860000,1:54:29.0,0.020578
0.439209,0.035156,0.911621,0.106870,1.312977,-0.854962,1.942959,25.676796,-179.240616,40.449668,-79.949377,316.860000,1:54:29.0,0.020578
0.440674,0.036377,0.908691,0.229008,1.282443,-0.656489,2.034992,25.818438,-179.243790,40.449668,-79.949377,316.860000,1:54:29.0,0.020578
0.440674,0.036377,0.908691,0.274809,1.312977,-0.656489,2.117516,25.969500,-179.247604,40.449668,-79.949377,316.860000,1:54:29.0,0.020578
0.441895,0.036377,0.912109,0.396947,1.160305,-0.763359,2.043390,25.817213,-179.240128,40.449668,-79.949377,316.860000,1:54:29.0,0.020578
0.441895,0.036377,0.912109,0.229008,1.083969,-0.839695,2.106105,25.980701,-179.243652,40.449668,-79.949377,316.860000,1:54:29.0,0.020578
0.441650,0.038818,0.913330,0.442748,1.236641,-0.778626,2.248598,25.686245,-179.228409,40.449668,-79.949377,316.860000,1:54:29.0,0.020578
0.441650,0.038818,0.913330,0.381679,1.297710,-0.763359,2.175744,25.837406,-179.232422,40.449668,-79.949377,316.860000,1:54:29.0,0.020578
0.439941,0.034424,0.911865,0.519084,1.267176,-0.717557,2.010001,25.772169,-179.228531,40.449668,-79.949377,316.860000,1:54:29.0,0.020578
0.439941,0.034424,0.911865,0.229008,1.129771,-0.793893,1.840240,25.722858,-179.224548,40.449668,-79.949377,316.860000,1:54:29.0,0.020578
