ax, ay, az, gx, gy, gz, rx, ry, rz, lat, long, alt, time
-0.111572, 0.577637, -0.784424, -11.465649, -0.396947, 0.381679, 35.680157, -170.042572, -43.254086, 40.450768, -79.947682, 275.820000, 23:2:3.0
-0.165771, 0.606201, -0.808105, 9.709924, 3.099237, -2.167939, 36.188313, -169.971207, -43.325371, 40.450768, -79.947682, 275.820000, 23:2:3.0
-0.142578, 0.569336, -0.785889, 0.320611, 0.824427, -1.022901, 35.722607, -169.756927, -43.472157, 40.450768, -79.947682, 275.820000, 23:2:3.0
-0.147949, 0.588135, -0.793457, -2.366412, 0.992366, 0.229008, 35.797787, -169.888382, -43.411678, 40.450768, -79.947682, 275.820000, 23:2:3.0
-0.129639, 0.581787, -0.789307, 3.633588, 1.755725, -1.145038, 35.825722, -169.677292, -43.572567, 40.450768, -79.947682, 275.820000, 23:2:3.0
-0.152588, 0.591309, -0.794189, -0.900763, 0.396947, -0.641221, 35.838261, -170.191345, -43.286804, 40.450768, -79.947682, 275.820000, 23:2:3.0
-0.131836, 0.574951, -0.783936, 1.877863, 2.198473, -1.190840, 35.670322, -169.537003, -43.699486, 40.450768, -79.947682, 275.820000, 23:2:3.0
-0.105469, 0.592773, -0.794678, -4.519084, -0.656489, 0.000000, 35.871456, -170.501144, -43.161976, 40.450768, -79.947682, 275.820000, 23:2:3.0
-0.175781, 0.588623, -0.797119, 8.610687, 2.305344, -1.633588, 35.910580, -169.755859, -43.619400, 40.450768, -79.947682, 275.820000, 23:2:3.0
-0.116943, 0.571045, -0.777100, -10.885496, -0.671756, 0.870229, 35.658642, -170.100586, -43.441116, 40.450768, -79.947682, 275.820000, 23:2:3.0
-0.168457, 0.613770, -0.808594, 7.923664, 2.381679, -2.167939, 36.102425, -169.985840, -43.533173, 40.450768, -79.947682, 275.820000, 23:2:3.0
-0.145264, 0.574707, -0.786865, 2.580153, 1.328244, -0.748092, 35.717773, -169.675781, -43.734974, 40.450768, -79.947682, 275.820000, 23:2:3.0
-0.136230, 0.586426, -0.788330, -4.290076, 0.335878, -0.320611, 35.887409, -170.155777, -43.474491, 40.450768, -79.947682, 275.820000, 23:2:3.0
-0.134277, 0.585693, -0.795654, 4.458015, 2.137405, -1.190840, 35.867210, -169.831146, -43.699871, 40.450768, -79.947682, 275.820000, 23:2:3.0
-0.170410, 0.587402, -0.790527, 3.068702, 1.526718, -0.625954, 35.803314, -169.716873, -43.788242, 40.450768, -79.947682, 275.820000, 23:2:3.0
-0.134033, 0.578857, -0.788818, -0.045802, 1.954198, -0.305344, 35.709854, -169.636642, -43.865181, 40.450768, -79.947682, 275.820000, 23:2:3.0
-0.128906, 0.599365, -0.802002, -1.618321, -0.106870, -0.503817, 36.029140, -170.565094, -43.345879, 40.450768, -79.947682, 275.820000, 23:2:3.0
-0.152100, 0.557861, -0.782959, 6.106870, 2.167939, -0.900763, 35.752422, -169.922562, -43.742870, 40.450768, -79.947682, 275.820000, 23:2:3.0
-0.120605, 0.603516, -0.798584, -9.404580, 0.000000, 0.076336, 35.865574, -170.566086, -43.396606, 40.450768, -79.947682, 275.820000, 23:2:3.0
-0.171631, 0.614502, -0.812256, 11.328244, 2.916031, -1.938931, 36.061207, -170.229813, -43.625420, 40.450768, -79.947682, 275.820000, 23:2:3.0
-0.138672, 0.556641, -0.783936, -7.603054, -0.595420, 0.366412, 35.462448, -169.955368, -43.808327, 40.450768, -79.947682, 275.820000, 23:2:3.0
-0.164795, 0.598877, -0.800293, 3.374046, 2.442748, -1.572519, 35.681297, -169.935928, -43.839157, 40.450769, -79.947681, 275.820000, 23:2:4.0
-0.125488, 0.586914, -0.791260, 1.572519, 1.160305, -0.839695, 35.898270, -170.164139, -43.728569, 40.450769, -79.947681, 275.820000, 23:2:4.0
-0.133545, 0.586914, -0.791748, 1.496183, 0.656489, -0.641221, 35.919964, -170.443268, -43.579628, 40.450769, -79.947681, 275.820000, 23:2:4.0
-0.148438, 0.574707, -0.784424, -0.381679, 2.076336, -0.748092, 35.626274, -169.617310, -44.097374, 40.450769, -79.947681, 275.820000, 23:2:4.0
-0.112793, 0.601318, -0.802002, -1.893130, -0.106870, -0.473282, 35.892933, -170.630173, -43.532162, 40.450769, -79.947681, 275.820000, 23:2:4.0
-0.157471, 0.563721, -0.781250, 4.488550, 1.770992, -0.595420, 35.661335, -170.043686, -43.890606, 40.450769, -79.947681, 275.820000, 23:2:4.0
-0.113281, 0.604004, -0.797607, -11.404580, -0.305344, 0.809160, 35.609722, -170.165237, -43.838985, 40.450769, -79.947681, 275.820000, 23:2:4.0
-0.157227, 0.621826, -0.811279, 10.793893, 2.870229, -2.427481, 36.099789, -170.002335, -43.963093, 40.450769, -79.947681, 275.820000, 23:2:4.0
-0.142578, 0.556885, -0.781494, -3.587786, 0.305344, -0.641221, 35.584911, -169.525436, -44.268368, 40.450769, -79.947681, 275.820000, 23:2:4.0
-0.161377, 0.600342, -0.799316, -0.381679, 1.221374, -0.381679, 35.907158, -169.626480, -44.224274, 40.450769, -79.947681, 275.820000, 23:2:4.0
-0.131836, 0.583008, -0.796387, 2.290076, 1.419847, -1.435115, 36.086784, -169.822083, -44.143093, 40.450769, -79.947681, 275.820000, 23:2:4.0
-0.174805, 0.587402, -0.792236, 1.068702, 0.885496, -0.580153, 36.005978, -170.210449, -43.932766, 40.450769, -79.947681, 275.820000, 23:2:4.0
-0.161621, 0.577637, -0.790039, -0.625954, 2.122137, -0.549618, 35.678410, -169.261505, -44.523056, 40.450769, -79.947681, 275.820000, 23:2:4.0
-0.108887, 0.599121, -0.801270, -0.396947, 0.091603, -0.580153, 35.876823, -170.292084, -43.945576, 40.450769, -79.947681, 275.820000, 23:2:4.0
-0.169678, 0.572021, -0.791504, 8.732824, 2.366412, -1.389313, 35.803452, -169.475983, -44.437279, 40.450769, -79.947681, 275.820000, 23:2:4.0
-0.110596, 0.589355, -0.791016, -10.778625, -0.534351, 0.335878, 35.573196, -169.763489, -44.296661, 40.450769, -79.947681, 275.820000, 23:2:4.0
-0.151123, 0.619873, -0.802979, 9.160305, 2.595420, -2.687023, 36.161385, -169.864120, -44.265903, 40.450769, -79.947681, 275.820000, 23:2:4.0
-0.143066, 0.560059, -0.782715, -3.267176, 0.381679, -0.442748, 35.614704, -169.535675, -44.484055, 40.450769, -79.947681, 275.820000, 23:2:4.0
-0.155029, 0.596191, -0.794434, -2.442748, 0.671756, 0.030534, 35.910320, -169.705826, -44.398827, 40.450769, -79.947681, 275.820000, 23:2:4.0
-0.136963, 0.588379, -0.795166, 3.343511, 1.709924, -0.961832, 35.999027, -169.135574, -44.766476, 40.450769, -79.947681, 275.820000, 23:2:4.0
-0.160889, 0.584717, -0.791016, -0.213740, 0.274809, -0.793893, 35.957664, -169.709900, -44.449020, 40.450769, -79.947681, 275.820000, 23:2:4.0
-0.128418, 0.574219, -0.786865, 1.099237, 2.717557, 0.030534, 35.671101, -169.132828, -44.817467, 40.450769, -79.947681, 275.820000, 23:2:4.0
-0.115234, 0.599609, -0.798096, -2.656489, -0.641221, -0.854962, 35.915680, -170.116974, -44.272892, 40.450769, -79.947681, 275.820000, 23:2:4.0
-0.166992, 0.577637, -0.788574, 9.068703, 2.213740, -1.175573, 36.013180, -169.410309, -44.698486, 40.450769, -79.947681, 275.820000, 23:2:4.0
-0.104248, 0.583008, -0.785889, -9.801527, -0.366412, 0.427481, 35.704479, -169.529922, -44.663033, 40.450769, -79.947681, 275.820000, 23:2:4.0
-0.168213, 0.601807, -0.805664, 11.435115, 3.374046, -1.664122, 36.184422, -169.502792, -44.704540, 40.450769, -79.947681, 275.820000, 23:2:4.0
-0.134766, 0.564453, -0.781250, 0.229008, 1.480916, -1.083969, 35.758125, -169.623932, -44.655979, 40.450769, -79.947681, 275.820000, 23:2:4.0
-0.148682, 0.595703, -0.795166, -2.732824, 0.656489, 0.030534, 35.922642, -169.769791, -44.588737, 40.450769, -79.947681, 275.820000, 23:2:4.0
-0.136719, 0.586670, -0.793945, 4.213740, 2.152672, -1.251908, 35.923679, -169.632492, -44.701843, 40.450769, -79.947681, 275.820000, 23:2:4.0
-0.154541, 0.589355, -0.797119, -0.671756, 0.732824, -0.351145, 35.870445, -170.110596, -44.440948, 40.450769, -79.947681, 275.820000, 23:2:4.0
-0.133057, 0.575928, -0.785889, 0.412214, 1.969466, -0.641221, 35.604671, -169.507355, -44.824837, 40.450769, -79.947681, 275.820000, 23:2:4.0
